connector,connectorChannel,stripNb,axis,_5,_6,_7,xGerber,yGerber
3,19,83,x,1.2,0.125,18:20,-113.875,73.5
3,20,84,x,1.2,0.125,19:21,-113.875,74.7
3,21,85,x,1.2,0.125,20:22,-113.875,75.9
3,22,86,x,1.2,0.125,21:23,-113.875,77.1
3,23,87,x,1.2,0.125,22:24,-113.875,78.3
3,24,88,x,1.2,0.125,23:25,-113.875,79.5
3,25,89,x,1.2,0.125,24:26,-113.875,80.7
3,26,90,x,1.2,0.125,25:27,-113.875,81.9
3,27,91,x,1.2,0.125,26:28,-113.875,83.1
3,28,92,x,1.2,0.125,27:29,-113.875,84.3
3,29,93,x,1.2,0.125,28:30,-113.875,85.5
3,30,94,x,1.2,0.125,29:31,-113.875,86.7
3,31,95,x,1.2,0.125,30,-113.875,87.9
3,32,96,x,1.2,0.125,33,-113.875,89.1
3,33,97,x,1.2,0.125,32:34,-113.875,90.3
3,34,98,x,1.2,0.125,33:35,-113.875,91.5
3,35,99,x,1.2,0.125,34:36,-113.875,92.7
3,36,100,x,1.2,0.125,35:37,-113.875,93.9
3,37,101,x,1.2,0.125,36:38,-113.875,95.1
3,38,102,x,1.2,0.125,37:39,-113.875,96.3
3,39,103,x,1.2,0.125,38:40,-113.875,97.5
3,40,104,x,1.2,0.125,39:41,-113.875,98.7
3,41,105,x,1.2,0.125,40:42,-113.875,99.9
3,42,106,x,1.2,0.125,41:43,-113.875,101.1
3,43,107,x,1.2,0.125,42:44,-113.875,102.3
3,44,108,x,1.2,0.125,43:45,-113.875,103.5
3,45,109,x,1.2,0.125,44:46,-113.875,104.7
3,46,110,x,1.2,0.125,45:47,-113.875,105.9
3,47,111,x,1.2,0.125,46:48,-113.875,107.1
3,48,112,x,1.2,0.125,47:49,-113.875,108.3
3,49,113,x,1.2,0.125,48:50,-113.875,109.5
3,50,114,x,1.2,0.125,49:51,-113.875,110.7
3,51,115,x,1.2,0.125,50:52,-113.875,111.9
3,52,116,x,1.2,0.125,51:53,-113.875,113.1
3,53,117,x,1.2,0.125,52:54,-113.875,114.3
3,54,118,x,1.2,0.125,53:55,-113.875,115.5
3,55,119,x,1.2,0.125,54:56,-113.875,116.7
3,56,120,x,1.2,0.125,55:57,-113.875,117.9
3,57,121,x,1.2,0.125,56:58,-113.875,119.1
3,58,122,x,1.2,0.125,57:59,-113.875,120.3
3,59,123,x,1.2,0.125,58:60,-113.875,121.5
3,60,124,x,1.2,0.125,59:61,-113.875,122.7
3,61,125,x,1.2,0.125,60:62,-113.875,123.9
3,62,126,x,1.2,0.125,61:63,-113.875,125.1
3,63,127,x,1.2,0.125,62,-113.875,126.3
